Names	total	elements
		ENSG00000150337
		ENSG00000161960
		ENSG00000187583
		ENSG00000014257
		ENSG00000265666
		ENSG00000156886
		ENSG00000204618
		ENSG00000198517
		ENSG00000165091
		ENSG00000027697
		ENSG00000227591
		ENSG00000134333
		ENSG00000137076
		ENSG00000226887
		ENSG00000053747
		ENSG00000181029
		ENSG00000222043
		ENSG00000229337
		ENSG00000287200
		ENSG00000090975
		ENSG00000156127
		ENSG00000258667
		ENSG00000134109
		ENSG00000155066
		ENSG00000287771
		ENSG00000101003
		ENSG00000233461
		ENSG00000177469
		ENSG00000198060
		ENSG00000104808
		ENSG00000277443
		ENSG00000169905
		ENSG00000113810
		ENSG00000074211
		ENSG00000163625
		ENSG00000165490
		ENSG00000117009
		ENSG00000100014
		ENSG00000077238
		ENSG00000163218
		ENSG00000174705
		ENSG00000013810
		ENSG00000139278
		ENSG00000064886
		ENSG00000082074
		ENSG00000008438
		ENSG00000099860
		ENSG00000176438
		ENSG00000228437
		ENSG00000136694
		ENSG00000139370
		ENSG00000169429
		ENSG00000113763
		ENSG00000235385
		ENSG00000143412
		ENSG00000149968
		ENSG00000178719
		ENSG00000127954
		ENSG00000237181
		ENSG00000125735
		ENSG00000072364
		ENSG00000182759
		ENSG00000147394
		ENSG00000182885
		ENSG00000213445
		ENSG00000230257
		ENSG00000128340
		ENSG00000132359
		ENSG00000130755
		ENSG00000143398
		ENSG00000125812
		ENSG00000110660
		ENSG00000186847
		ENSG00000147509
		ENSG00000160307
		ENSG00000128591
		ENSG00000100365
		ENSG00000100097
		ENSG00000143110
		ENSG00000100292
		ENSG00000129657
		ENSG00000104885
		ENSG00000123104
		ENSG00000171401
		ENSG00000142619
		ENSG00000241163
		ENSG00000090924
		ENSG00000069956
		ENSG00000152463
		ENSG00000237264
		ENSG00000136167
		ENSG00000102908
		ENSG00000138081
		ENSG00000258476
		ENSG00000102755
		ENSG00000172548
		ENSG00000089327
		ENSG00000121964
		ENSG00000197321
		ENSG00000172322
		ENSG00000150457
		ENSG00000163734
		ENSG00000261888
		ENSG00000151465
		ENSG00000229331
		ENSG00000169299
		ENSG00000152223
		ENSG00000103154
		ENSG00000138772
		ENSG00000102393
		ENSG00000058272
		ENSG00000006432
		ENSG00000113070
		ENSG00000153071
		ENSG00000010818
		ENSG00000188404
		ENSG00000173559
		ENSG00000214212
		ENSG00000116954
		ENSG00000197122
		ENSG00000114013
		ENSG00000078401
		ENSG00000250920
		ENSG00000261175
		ENSG00000101367
		ENSG00000187688
		ENSG00000134152
		ENSG00000108387
		ENSG00000105483
		ENSG00000203721
		ENSG00000067182
		ENSG00000102572
		ENSG00000186185
		ENSG00000196083
		ENSG00000115919
		ENSG00000152137
		ENSG00000169035
		ENSG00000187054
		ENSG00000279838
		ENSG00000177189
		ENSG00000005339
		ENSG00000273599
		ENSG00000269952
		ENSG00000273133
		ENSG00000100504
		ENSG00000178896
		ENSG00000116514
		ENSG00000229719
		ENSG00000163932
		ENSG00000272914
		ENSG00000168404
		ENSG00000276533
		ENSG00000180530
		ENSG00000134369
		ENSG00000145979
		ENSG00000133961
		ENSG00000145824
		ENSG00000185728
		ENSG00000203710
		ENSG00000141867
		ENSG00000257715
		ENSG00000287535
		ENSG00000104972
		ENSG00000174718
		ENSG00000168542
		ENSG00000177614
		ENSG00000179921
		ENSG00000166396
		ENSG00000142910
		ENSG00000139722
		ENSG00000250138
		ENSG00000077984
		ENSG00000229808
		ENSG00000185947
		ENSG00000237330
		ENSG00000133318
		ENSG00000174944
		ENSG00000136541
		ENSG00000101782
		ENSG00000198753
		ENSG00000167755
		ENSG00000178860
		ENSG00000186684
		ENSG00000111961
		ENSG00000251161
		ENSG00000132003
		ENSG00000124575
		ENSG00000167850
		ENSG00000113739
		ENSG00000229644
